id_cliente,id_fatura,dt_emissao_fatura,dt_vencimento_fatura,valor_fatura
1,1,2023-01-01,2023-01-06,1671.07
1,2,2023-02-01,2023-02-06,3784.01
1,3,2023-03-01,2023-03-06,3265.83
1,4,2023-04-01,2023-04-06,2443.49
1,5,2023-05-01,2023-05-06,2804.65
1,6,2023-06-01,2023-06-06,2525.89
1,7,2023-07-01,2023-07-06,1374.19
1,8,2023-08-01,2023-08-06,1544.8
1,9,2023-09-01,2023-09-06,4912.1
1,10,2023-10-01,2023-10-06,4983.78
1,11,2024-01-01,2024-01-06,3836.72
2,12,2023-01-01,2023-01-06,3943.81
2,13,2023-02-01,2023-02-06,2806.11
2,14,2023-03-01,2023-03-06,2785.94
2,15,2023-04-01,2023-04-06,1172.86
2,16,2023-05-01,2023-05-06,3178.57
2,17,2023-06-01,2023-06-06,4501.56
2,18,2023-07-01,2023-07-06,4586.38
2,19,2023-08-01,2023-08-06,357.61
2,20,2023-09-01,2023-09-06,2590.41
2,21,2023-10-01,2023-10-06,2170.08
2,22,2023-11-01,2023-11-06,3346.01
2,23,2024-04-01,2024-04-06,4964.46
2,24,2024-07-01,2024-07-06,550.87
2,25,2024-09-01,2024-09-06,1882.13
3,26,2023-01-01,2023-01-06,2732.48
3,27,2023-02-01,2023-02-06,3662.13
3,28,2023-03-01,2023-03-06,2287.7
3,29,2023-04-01,2023-04-06,2188.94
3,30,2023-05-01,2023-05-06,622.98
3,31,2023-06-01,2023-06-06,3617.36
3,32,2023-07-01,2023-07-06,4352.06
3,33,2023-08-01,2023-08-06,4369.84
3,34,2023-09-01,2023-09-06,1596.95
3,35,2023-10-01,2023-10-06,74.85
3,36,2024-02-01,2024-02-06,2893.24
3,37,2024-04-01,2024-04-06,4285.2
3,38,2024-09-01,2024-09-06,1529.37
4,39,2023-01-01,2023-01-06,4051.14
4,40,2023-02-01,2023-02-06,3987.78
4,41,2023-03-01,2023-03-06,176.09
4,42,2023-04-01,2023-04-06,3630.53
4,43,2023-05-01,2023-05-06,3844.36
4,44,2023-06-01,2023-06-06,4028.01
4,45,2023-07-01,2023-07-06,3446.53
4,46,2023-08-01,2023-08-06,3644.48
4,47,2023-09-01,2023-09-06,4190.98
4,48,2023-10-01,2023-10-06,2937.44
4,49,2024-01-01,2024-01-06,3030.63
4,50,2024-02-01,2024-02-06,3380.91
4,51,2024-04-01,2024-04-06,4354.85
4,52,2024-06-01,2024-06-06,125.8
4,53,2024-08-01,2024-08-06,4849.83
4,54,2024-09-01,2024-09-06,165.16
5,55,2023-01-01,2023-01-06,4255.42
5,56,2023-02-01,2023-02-06,1562.4
5,57,2023-03-01,2023-03-06,4463.19
5,58,2023-04-01,2023-04-06,685.12
5,59,2023-05-01,2023-05-06,1050.84
5,60,2023-06-01,2023-06-06,1387.65
5,61,2023-07-01,2023-07-06,162.67
5,62,2023-08-01,2023-08-06,4093.0
5,63,2023-09-01,2023-09-06,2210.02
5,64,2023-10-01,2023-10-06,3828.64
5,65,2023-12-01,2023-12-06,3997.48
5,66,2024-01-01,2024-01-06,4393.76
5,67,2024-02-01,2024-02-06,2396.72
5,68,2024-03-01,2024-03-06,2896.95
5,69,2024-04-01,2024-04-06,4225.64
5,70,2024-05-01,2024-05-06,3655.76
5,71,2024-06-01,2024-06-06,4653.98
5,72,2024-07-01,2024-07-06,3772.57
5,73,2024-09-01,2024-09-06,652.52
6,74,2023-01-01,2023-01-06,1640.9
6,75,2023-02-01,2023-02-06,4001.38
6,76,2023-03-01,2023-03-06,901.66
6,77,2023-04-01,2023-04-06,2104.63
6,78,2023-05-01,2023-05-06,4575.42
6,79,2023-06-01,2023-06-06,1839.46
6,80,2023-07-01,2023-07-06,1067.15
6,81,2023-08-01,2023-08-06,3280.37
6,82,2023-09-01,2023-09-06,4011.04
6,83,2023-10-01,2023-10-06,4623.7
6,84,2023-11-01,2023-11-06,1260.84
6,85,2023-12-01,2023-12-06,1116.97
6,86,2024-02-01,2024-02-06,3323.5
6,87,2024-05-01,2024-05-06,655.33
6,88,2024-06-01,2024-06-06,3231.8
7,89,2023-01-01,2023-01-06,2668.94
7,90,2023-02-01,2023-02-06,4852.51
7,91,2023-03-01,2023-03-06,4407.52
7,92,2023-04-01,2023-04-06,214.74
7,93,2023-05-01,2023-05-06,4657.49
7,94,2023-06-01,2023-06-06,4955.45
7,95,2023-07-01,2023-07-06,999.89
7,96,2023-08-01,2023-08-06,1887.76
7,97,2023-09-01,2023-09-06,3013.46
