id_pagamento,id_fatura,id_cliente,dt_pagamento,valor_pagamento
1,2,1,2023-02-11,3784.01
2,3,1,2023-03-05,3265.83
3,5,1,2023-05-15,2804.65
4,6,1,2023-06-20,2525.89
5,7,1,2023-07-11,1374.19
6,10,1,2023-10-11,4983.78
7,19,2,2023-08-15,357.61
8,24,2,2024-07-16,550.87
9,25,2,2024-09-20,1882.13
10,26,3,2023-01-20,2732.48
11,29,3,2023-04-16,2188.94
12,30,3,2023-05-16,622.98
13,37,3,2024-04-16,4285.2
14,40,4,2023-02-08,3987.78
15,41,4,2023-03-19,176.09
16,42,4,2023-04-04,3630.53
17,49,4,2024-01-09,3030.63
18,51,4,2024-04-06,4354.85
19,54,4,2024-09-19,165.16
20,56,5,2023-02-20,1562.4
21,57,5,2023-03-11,4463.19
22,58,5,2023-04-04,685.12
23,59,5,2023-05-18,1050.84
24,62,5,2023-08-12,4093.0
25,63,5,2023-09-14,2210.02
26,66,5,2024-01-06,4393.76
27,67,5,2024-02-05,2396.72
28,76,6,2023-03-10,901.66
29,79,6,2023-06-18,1839.46
30,82,6,2023-09-07,4011.04
31,84,6,2023-11-12,1260.84
32,87,6,2024-05-18,655.33
33,89,7,2023-01-20,2668.94
34,90,7,2023-02-04,4852.51
35,91,7,2023-03-12,4407.52
36,93,7,2023-05-20,4657.49
37,94,7,2023-06-14,4955.45
38,99,7,2023-11-21,3119.45
39,100,7,2023-12-15,1886.69
40,103,8,2023-02-13,3384.45
41,109,8,2023-08-13,3346.61
42,110,8,2023-09-19,3038.88
43,111,8,2023-10-18,4819.12
44,112,8,2023-12-20,3130.44
45,115,8,2024-07-02,561.57
46,116,8,2024-08-18,3448.53
47,117,8,2024-09-21,2292.86
48,119,9,2023-02-05,1458.23
49,122,9,2023-05-21,3769.75
50,123,9,2023-06-13,2960.89
51,126,9,2023-09-14,4118.51
52,128,9,2023-11-17,4247.94
53,129,9,2023-12-11,4293.0
54,131,9,2024-02-08,2701.1
55,138,10,2023-03-13,1802.41
56,142,10,2023-07-16,2722.62
57,145,10,2023-10-03,1278.28
58,148,10,2024-03-06,3495.9
59,158,11,2023-08-04,1027.64
60,159,11,2023-09-13,1297.15
61,160,11,2023-10-17,2982.45
62,161,11,2023-11-02,782.58
63,162,11,2023-12-03,3432.01
64,165,11,2024-08-21,3142.7
65,166,11,2024-09-09,2717.29
66,167,12,2023-01-17,2358.38
67,172,12,2023-06-11,3542.02
68,174,12,2023-08-12,737.49
69,175,12,2023-09-16,2694.25
70,176,12,2023-10-17,3130.05
71,177,12,2023-11-21,4637.99
72,178,12,2024-02-06,1612.4
73,179,12,2024-05-11,4204.21
74,180,12,2024-06-20,2913.45
75,181,12,2024-08-12,2301.96
76,182,12,2024-09-14,245.69
77,184,13,2023-02-20,1934.23
78,187,13,2023-05-06,97.6
79,189,13,2023-07-20,3324.65
80,193,13,2024-01-17,4985.45
81,194,13,2024-03-05,3122.82
82,196,13,2024-06-12,2582.25
83,197,13,2024-07-20,3832.42
84,198,13,2024-08-16,76.07
85,202,14,2023-03-06,918.1
86,203,14,2023-04-09,3760.2
87,204,14,2023-05-12,4059.75
88,205,14,2023-06-16,4247.74
89,206,14,2023-07-21,4195.49
90,208,14,2023-09-08,4525.13
91,209,14,2023-10-08,4972.14
92,216,15,2023-01-05,1090.69
93,220,15,2023-05-06,4240.8
94,221,15,2023-06-09,4241.56
95,222,15,2023-07-18,1024.65
96,224,15,2023-09-09,1060.84
97,225,15,2023-10-02,2210.73
98,227,15,2024-05-03,3207.18
99,228,16,2023-01-17,1109.6
100,229,16,2023-02-19,3124.71
101,232,16,2023-05-07,3768.8
102,237,16,2023-10-18,3604.82
103,238,16,2023-11-07,4211.86
104,240,16,2024-07-21,1633.47
105,243,17,2023-01-08,247.42
106,246,17,2023-04-20,620.47
107,247,17,2023-05-08,2966.84
108,248,17,2023-06-08,442.18
109,249,17,2023-07-05,255.65
110,250,17,2023-08-03,4430.42
111,251,17,2023-09-03,400.3
112,252,17,2023-10-18,3869.31
113,253,17,2024-02-06,2259.47
114,254,17,2024-04-06,3501.57
115,255,17,2024-06-19,1091.58
116,257,17,2024-08-18,2843.62
117,258,17,2024-09-13,2812.68
118,262,18,2023-04-18,3538.26
119,264,18,2023-06-05,670.98
120,268,18,2023-10-04,243.26
121,270,18,2023-12-02,656.52
122,271,18,2024-02-02,4828.51
123,276,19,2023-01-07,4522.61
124,278,19,2023-03-08,4379.77
125,279,19,2023-04-17,1980.01
126,285,19,2023-10-03,1611.92
127,286,19,2023-11-16,2885.72
128,288,19,2024-06-06,1067.35
129,289,20,2023-01-12,3093.89
130,291,20,2023-03-16,2234.63
131,292,20,2023-04-03,3418.49
132,294,20,2023-06-19,688.95
133,295,20,2023-07-19,4044.65
134,296,20,2023-08-21,1247.46
135,299,20,2023-12-12,3563.48
136,303,20,2024-06-21,4254.83
137,304,20,2024-07-10,2312.23
138,307,21,2023-01-14,4044.37
139,309,21,2023-03-11,2577.48
140,312,21,2023-06-17,3903.52
141,313,21,2023-07-11,2636.0
142,314,21,2023-08-03,3994.82
143,316,21,2023-10-17,3383.67
144,319,21,2024-03-10,2348.57
145,321,21,2024-06-09,711.16
146,322,21,2024-07-10,3831.66
147,323,21,2024-09-06,3966.94
148,325,22,2023-02-06,1947.06
149,330,22,2023-07-20,4603.93
150,331,22,2023-08-05,666.28
151,332,22,2023-09-02,917.76
152,334,22,2024-01-18,4800.25
153,335,22,2024-02-14,2252.41
154,336,22,2024-03-05,1188.7
155,339,22,2024-09-14,2024.79
156,340,23,2023-01-10,2111.02
157,341,23,2023-02-16,4942.96
158,342,23,2023-03-17,2955.28
159,344,23,2023-05-07,3396.57
160,346,23,2023-07-04,762.33
161,349,23,2023-10-20,1770.61
162,352,23,2024-03-18,2325.06
163,359,24,2023-05-19,4946.85
164,361,24,2023-07-05,1432.12
165,362,24,2023-08-13,534.89
166,363,24,2023-09-09,2158.65
167,367,24,2024-01-15,2595.3
168,369,24,2024-03-19,4117.34
169,371,24,2024-07-17,3433.24
170,372,24,2024-09-12,3153.15
171,373,25,2023-01-14,2980.5
172,374,25,2023-02-17,341.33
173,376,25,2023-04-13,1108.0
174,378,25,2023-06-16,4734.22
175,380,25,2023-08-09,687.44
176,382,25,2023-10-11,1589.03
177,383,25,2023-11-14,1352.93
178,387,26,2023-03-06,1797.9
179,388,26,2023-04-14,1838.27
180,389,26,2023-05-14,3145.26
181,390,26,2023-06-15,4655.36
182,391,26,2023-07-06,4630.53
183,392,26,2023-08-04,3951.3
184,393,26,2023-09-08,268.15
185,394,26,2023-10-08,2152.86
186,398,27,2023-03-13,1796.06
187,399,27,2023-04-11,3993.39
188,400,27,2023-05-11,1729.04
189,403,27,2023-08-19,1583.47
190,409,27,2024-05-20,4964.93
191,412,28,2023-01-20,1364.68
192,417,28,2023-06-05,3334.9
193,419,28,2023-08-12,4877.32
194,421,28,2023-10-14,4666.51
195,422,28,2023-11-07,974.2
196,435,29,2023-08-12,1453.06
197,437,29,2023-10-03,306.04
198,438,29,2024-02-19,1544.53
199,439,29,2024-03-18,3178.72
200,441,29,2024-05-09,4386.11
201,443,29,2024-08-16,3138.23
202,444,29,2024-09-06,3036.22
203,445,30,2023-01-11,696.49
204,449,30,2023-05-08,2764.64
205,450,30,2023-06-02,2179.75
206,451,30,2023-07-09,4699.83
207,452,30,2023-08-08,4962.2
208,457,30,2024-04-19,1339.18
209,462,31,2023-01-03,2539.93
210,463,31,2023-02-12,1781.63
211,467,31,2023-06-21,4533.21
212,469,31,2023-08-13,2128.34
213,472,31,2023-12-04,3804.94
214,475,31,2024-07-15,4364.62
215,476,31,2024-08-11,3927.44
216,479,32,2023-03-05,3902.65
217,481,32,2023-05-15,3233.06
218,485,32,2023-09-15,509.66
219,487,32,2023-12-14,4136.43
220,494,32,2024-07-21,3054.04
221,496,32,2024-09-19,3233.62
222,498,33,2023-02-13,2589.84
223,499,33,2023-03-07,3046.08
224,500,33,2023-04-08,2390.8
225,501,33,2023-05-07,971.41
226,503,33,2023-07-15,580.68
227,506,33,2023-10-14,3741.64
228,507,33,2023-11-21,533.93
229,509,33,2024-02-06,1763.49
230,511,33,2024-06-21,1138.83
231,521,34,2023-10-08,3960.55
232,522,34,2023-11-04,3491.83
233,524,34,2024-07-07,3897.79
234,526,34,2024-09-07,4697.63
235,527,35,2023-01-05,1217.64
236,532,35,2023-06-16,2373.08
237,534,35,2023-08-15,4002.4
238,535,35,2023-09-21,2497.85
239,544,35,2024-09-08,866.83
240,545,36,2023-01-14,319.09
241,547,36,2023-03-21,4613.94
242,550,36,2023-06-18,4926.16
243,552,36,2023-08-17,2114.36
244,554,36,2023-10-17,319.38
245,555,36,2023-12-21,4928.41
246,557,36,2024-06-07,4470.23
247,561,37,2023-03-02,4813.04
248,562,37,2023-04-10,1862.51
249,563,37,2023-05-07,2376.62
250,564,37,2023-06-20,4048.25
251,565,37,2023-07-10,301.3
252,573,37,2024-07-15,4092.57
253,576,38,2023-02-03,2876.73
254,578,38,2023-04-04,4694.78
255,581,38,2023-07-12,119.73
